,Unnamed: 0,id,name,price,effect,usage,picture,type,sale,number
10,10,11,安乃近片,￥2.30,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛、痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 口服 成人常用量：一次0.5～1g，需要时服1次，最多一日3次。小儿：按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/drug/200911/2009110510391795.jpg,家庭常备,84,278
11,11,12,安乃近片,￥2.30,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛、痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 口服 成人常用量：一次0.5～1g，需要时服1次，最多一日3次。小儿：按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/drug/200911/2009110510394678.jpg,家庭常备,18,166
12,12,13,安乃近片,￥0.65,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛、痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 口服 成人常用量：一次0.5～1g，需要时服1次，最多一日3次。小儿：按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/drug/200911/2009110511033528.jpg,家庭常备,54,155
13,13,14,安乃近片,￥2.30,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛、痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 口服 成人常用量：一次0.5～1g，需要时服1次，最多一日3次。小儿：按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/drug/200911/2009110511498608.jpg,家庭常备,10,121
14,14,15,安乃近片,￥0,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛、痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 口服 成人常用量：一次0.5～1g，需要时服1次，最多一日3次。小儿：按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/drug/200911/2009110511282191.jpg,家庭常备,50,468
15,15,16,安乃近片,￥9.10,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛、痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 口服成人常用量：一次0.5～1g，需要时服1次，最多一日3次。小儿：按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/drug/200911/2009110511395910.jpg,家庭常备,65,347
16,16,17,安乃近片,￥2.30,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛、痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 口服 成人常用量：一次0.5～1g，需要时服1次，最多一日3次。小儿：按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/drug/200911/2009110511574251.jpg,家庭常备,89,162
17,17,18,安乃近片,￥2.30,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛、痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 口服成人常用量：一次0.5～1g，需要时服1次，最多一日3次。小儿：按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/drug/200911/2009110511554965.jpg,家庭常备,39,385
18,18,19,安乃近片,￥7,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛、痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 口服 成人常用量：一次0.5～1g，需要时服1次，最多一日3次。小儿：按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/drug/200911/2009110511035072.jpg,家庭常备,3,466
19,19,20,安乃近片,￥4.2,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛、痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 口服 成人常用量：一次0.5～1g，需要时服1次，最多一日3次。小儿：按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/drug/200911/2009110511383100.jpg,家庭常备,76,429
20,20,21,安乃近片,￥3.34,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛、痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 口服 成人常用量：一次0.5～1g，需要时服1次，最多一日3次。小儿：按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/drug/200911/2009110511449477.jpg,家庭常备,11,177
21,21,22,安乃近片,￥19.5,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛、痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 口服成人常用量：一次0.5～1g，需要时服1次，最多一日3次。小儿：按体重一次10～20mg/kg，一日2～3次。,http://img.99.com.cn/drug/200911/2009110511184808.jpg,家庭常备,4,459
22,22,23,安乃近注射液,￥2.90,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛和痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 深部肌肉注射一次0.25～0.5g；小儿一次5～10mg/kg。,http://img.99.com.cn/drug/200911/2009110511152535.gif,家庭常备,54,131
23,23,24,安乃近注射液,￥2.90,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛和痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 深部肌肉注射一次0.25～0.5g；小儿一次5～10mg/kg。,http://img.99.com.cn/drug/200911/2009110511522261.jpg,家庭常备,77,277
24,24,25,安乃近注射液,￥2.90,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛和痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 深部肌肉注射一次0.25～0.5g；小儿一次5～10mg/kg。,http://img.99.com.cn/drug/200911/2009110511518270.jpg,家庭常备,91,135
25,25,26,安乃近注射液,￥2.13,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛和痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 深部肌肉注射一次0.25～0.5g；小儿一次5～10mg/kg。,http://img.99.com.cn/drug/200911/2009110511104198.jpg,家庭常备,89,77
26,26,27,安乃近注射液,￥2.90,功效：用于高热时的解热，也可用于头痛、偏头痛、肌肉痛、关节痛和痛经等。本品亦有较强的抗风湿作用，可用于急性风湿性关节炎，但因本品有可能引起严重的不良反应，很少在风湿性疾病中应用。,用法用量： 深部肌肉注射一次0.25～0.5g；小儿一次5～10mg/kg。,http://img.99.com.cn/drug/200911/2009110511576804.jpg,家庭常备,65,212
27,27,28,氨非咖片,￥0,功效：用于发热及轻、中度的疼痛。,用法用量： 遮光，密封保存。,http://img.99.com.cn/99/drug/2914574318.jpg,家庭常备,68,53
28,28,29,氨非咖片,￥0,功效：用于发热及轻、中度的疼痛。,用法用量： 遮光，密封保存。,http://img.99.com.cn/drug/200911/2009110502013689.jpg,家庭常备,100,227
29,29,30,氨酚美伪麻片,￥16.80,功效：解热镇痛，镇咳及减轻鼻粘膜充血药。用于治疗和减轻感冒引起的发热，头痛，周身四肢酸痛，喷嚏，流涕，鼻塞，咳嗽等症状。,用法用量： 口服。成人和12岁以上儿童，一日二次，每6小时服1片。12岁以下儿童及60岁以上老年患者遵医嘱。,http://img.99.com.cn/99/drug/1511240775.jpg,家庭常备,38,126
30,30,31,氨酚伪麻胶囊,￥8.80,功效：用于感冒引起的发热、头痛、周身四肢酸痛、喷嚏、流涕、鼻塞等症状。,用法用量： 口服。成人一次1~2粒，一日3次。或遵医嘱。,http://img.99.com.cn/99/drug/1511211924.jpg,家庭常备,60,251
31,31,32,氨酚伪麻美那敏片,￥10,功效：用于普通感冒或流行性感冒引起的发热、头痛、周身四肢酸痛、打喷嚏、流涕、鼻塞、咳嗽等症状。,用法用量： 口服，成人和12岁以上儿童每6小时服1次，一次1片，24小时不超过8片。,http://img.99.com.cn/99/drug/1014024724.jpg,家庭常备,11,273
32,32,33,氨酚伪麻那敏咀嚼片,￥20.00,功效：用于普通感冒或流行性感冒引起的发热、头痛、全身酸痛、鼻塞、流涕、打喷嚏等症状。,用法用量： 口服，成人一次5~6片，每4~6小时一次，咀嚼服或加以溶化后口服。 12岁以下儿童用量见下表： 年龄（岁） 体重（公斤） 一次用量（片）                                     一日次数    2~3                                  12~14                                                             1~1.5                                              每4~6小时服一次，咀嚼或加    4~6                               16~20                                                                      2                                                                                                            &,http://img.99.com.cn/99/drug/2615183541.jpg,家庭常备,66,336
33,33,34,氨酚伪麻那敏片,￥8.20,功效：用于由感冒或流感引起的发热、头痛、关节痛、喷嚏、流鼻涕、鼻塞等。,用法用量： 口服。　成人一次1片，一日3次。一日不超过4次。,http://img.99.com.cn/99/drug/2415320589.jpg,家庭常备,39,142
34,34,35,氨酚伪麻那敏片,￥0,功效：用于由感冒或流感引起的发热、头痛、关节痛、喷嚏、流鼻涕、鼻塞等。,用法用量： 口服。　成人一次1片，一日3次。一日不超过4次。,http://img.99.com.cn/99/drug/241530173.jpg,家庭常备,5,458
35,35,36,氨酚伪麻那敏片（II),￥14.60,功效：本品用于治疗普通感冒和流行性感冒引起的发热、头痛、四肢酸痛、喷嚏、流涕、鼻塞、咳嗽、咽痛等症状。,用法用量： 口服。 成人一次1片，一日3次。一日不超过4次。,http://img.99.com.cn/drug/200911/2009110503501420.jpg,家庭常备,26,148
36,36,37,氨酚伪麻片,￥18.00,功效：本品适用于治疗和减轻感冒引起的发热、头痛、周身四肢酸痛、喷嚏、流涕、鼻塞、咳嗽等症状。,用法用量： 口服。成人一次1～2片，一日3次，24小时内不超过4次。,http://img.99.com.cn/drug/200911/2009110503348229.jpg,家庭常备,47,239
37,37,38,氨酚伪麻片,￥0,功效：本品适用于治疗和减轻感冒引起的发热、头痛、周身四肢酸痛、喷嚏、流涕、鼻塞、咳嗽等症状。,用法用量： 口服。成人一次1～2片，一日3次，24小时内不超过4次。,http://img.99.com.cn/drug/200911/2009110503297667.jpg,家庭常备,76,338
38,38,39,氨基比林咖啡因片,￥0,功效：用于缓解感冒、上呼吸道感染引起发热、头痛等症状，亦可用于神经痛、风湿痛、牙痛。,用法用量： 口服。一次1～2片，每日3次，或遵医嘱。,http://img.99.com.cn/99/drug/2913463497.jpg,家庭常备,86,374
39,39,40,氨咖黄敏胶囊,￥2.05,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/2913493174.jpg,家庭常备,46,84
40,40,41,氨咖黄敏胶囊,￥1.70,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,34,96
41,41,42,氨咖黄敏胶囊,￥3.35,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/2910424523.jpg,家庭常备,68,105
42,42,43,氨咖黄敏胶囊,￥8.80,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,32,82
43,43,44,氨咖黄敏胶囊,￥8.00,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,19,410
44,44,45,氨咖黄敏胶囊,￥0.90,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,29,297
45,45,46,氨咖黄敏胶囊,￥15.8,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/2914385367.jpg,家庭常备,35,257
46,46,47,氨咖黄敏胶囊,￥3.50,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/2914451493.jpg,家庭常备,25,45
47,47,48,氨咖黄敏胶囊,￥0,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,71,196
48,48,49,氨咖黄敏胶囊,￥0.5,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/2914412529.jpg,家庭常备,75,377
49,49,50,氨咖黄敏胶囊,￥3.50,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/2910462330.jpg,家庭常备,37,159
50,50,51,氨咖黄敏胶囊,￥1.40,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,93,306
51,51,52,氨咖黄敏胶囊,￥12.60,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/2910583441.jpg,家庭常备,72,41
52,52,53,氨咖黄敏胶囊,￥3.50,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,52,147
53,53,54,氨咖黄敏胶囊,￥7.50,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/291049564.jpg,家庭常备,73,80
54,54,55,氨咖黄敏胶囊,￥5.60,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2粒，一日3次。,http://img.99.com.cn/99/drug/2910482033.jpg,家庭常备,57,335
55,55,56,氨咖黄敏片,￥6.40,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2片，一日3次。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,5,145
56,56,57,氨咖黄敏片,￥3.80,功效：适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,用法用量： 口服。成人，一次1～2片，一日3次。,http://img.99.com.cn/99/drug/0313375180.jpg,家庭常备,48,228
57,57,58,贝诺酯分散片,￥19.50,功效：适用于急慢性风湿性关节炎、类风湿性关节炎、痛风以及发热、头痛、神经痛、手术后疼痛等。,用法用量： 口服，成人一次0.5～1.5g，一日1.5～4.5g，或遵医嘱。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,42,197
58,58,59,贝诺酯胶囊,￥15.40,功效：用于发热、头痛、神经痛、牙痛及手术后轻中度疼痛等。,用法用量： 口服 成人常用量：一次0.5～1.0g，一日3～4次，疗程不超过10天。老年人用药一日不超过2.6g，疗程不超过5天。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,11,33
59,59,60,贝诺酯颗粒,￥12.50,功效：用于急慢性风湿性关节炎、类风湿关节炎、痛风性关节炎以及发热、头痛、神经痛、手术后疼痛等。,用法用量： 口服，一次0.5～1.5g一日1.5～4.5g或遵医嘱。,http://img.99.com.cn/99/drug/1614080591.jpg,家庭常备,88,469
60,60,61,贝诺酯片,￥18.50,功效：用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。,用法用量： 口服。成人一次3～5片，一日3～4次。老年人一日用量不超过13片。,http://img.99.com.cn/drug/200911/2009110910584246.gif,家庭常备,14,117
61,61,62,贝诺酯片,￥11.2,功效：用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。,用法用量： 口服。成人一次3～5片，一日3～4次。老年人一日用量不超过13片。,http://img.99.com.cn/99/drug/161332017.jpg,家庭常备,15,488
62,62,63,贝诺酯片,￥8.9,功效：用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。,用法用量： 口服。成人一次3～5片，一日3～4次。老年人一日用量不超过13片。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,52,419
63,63,64,贝诺酯片,￥12.50,功效：用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。,用法用量： 口服。成人一次3～5片，一日3～4次。老年人一日用量不超过13片。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,23,9
64,64,65,贝诺酯片,￥9.65,功效：用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。,用法用量： 口服。成人一次3～5片，一日3～4次。老年人一日用量不超过13片。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,39,289
65,65,66,贝诺酯片,￥0,功效：用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。,用法用量： 口服。成人一次3～5片，一日3～4次。老年人一日用量不超过13片。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,55,210
66,66,67,苯甲醇注射液,￥1.20,功效：消毒防腐药。用于局部止痛及制剂的防腐。,用法用量： 本品为注射用盐酸大观霉素的溶剂，具有镇痛作用，可减少注射时的疼痛。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,88,289
67,67,68,苯甲醇注射液,￥0.40,功效：消毒防腐药。用于局部止痛及制剂的防腐。,用法用量： 本品为注射用盐酸大观霉素的溶剂，具有镇痛作用，可减少注射时的疼痛。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,63,174
68,69,69,吡罗昔康片,￥1.30,功效：用于缓解各种关节炎及软组织病变的疼痛和肿胀的对症治疗。,用法用量： 口服成人常用量：一次20mg，一日1次，或一次l0mg，一日2次。饭后服用。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,63,258
69,70,70,吡罗昔康片 炎痛喜康,￥1.6,功效：用于缓解各种关节炎及软组织病变的疼痛和肿胀的对症治疗。,用法用量： 口服成人常用量：一次20mg，一日1次，或一次l0mg，一日2次。饭后服用。,http://img.99.com.cn/99/drug/0315272863.jpg,家庭常备,95,5
70,71,71,吡罗昔康片,￥1.70,功效：用于缓解各种关节炎及软组织病变的疼痛和肿胀的对症治疗。,用法用量： 口服成人常用量：一次20mg，一日1次，或一次l0mg，一日2次。饭后服用。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,30,185
71,72,72,吡罗昔康片,￥2.60,功效：用于缓解各种关节炎及软组织病变的疼痛和肿胀的对症治疗。,用法用量： 口服成人常用量：一次20mg，一日1次，或一次l0mg，一日2次。饭后服用。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,6,112
72,73,73,吡罗昔康片,￥2.5,功效：用于缓解各种关节炎及软组织病变的疼痛和肿胀的对症治疗。,用法用量： 口服成人常用量：一次20mg，一日1次，或一次l0mg，一日2次。饭后服用。,http://img.99.com.cn/99/drug/0315320153.jpg,家庭常备,100,224
73,75,74,吡罗昔康片,￥1.00,功效：用于缓解各种关节炎及软组织病变的疼痛和肿胀的对症治疗。,用法用量： 口服成人常用量：一次20mg，一日1次，或一次l0mg，一日2次。饭后服用。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,93,148
74,76,75,布洛芬搽剂,￥12.00,功效：用于缓解局部疼痛，如肌肉痛、关节痛以及拉伤、扭伤和运动损伤引起的疼痛和肿胀，也可用于骨关节炎的对症治疗。,用法用量： 外用，按照痛处大小，使用本品适量轻轻揉搓，一日3-4次，儿童用量请咨询医师或药师。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,45,283
75,77,76,布洛芬缓释胶囊,￥17.60,功效：用于缓解轻至中度疼痛如头痛、偏头痛、牙痛、痛经、关节痛、肌肉痛、神经痛，也用于普通感冒或流行性感冒引起的发热。,用法用量： 口服。成人，一次1片，一日2次（早晚各一次）。,http://img.99.com.cn/99/drug/noimg.png,家庭常备,66,192
76,78,77,芬必得 布洛芬缓释胶囊,￥13.57,功效：轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。也用于普通感冒或流行性感冒引起的发热,用法用量： 口服。成人，一次1粒，一日2次（早晚各一次）。,http://img.99.com.cn/99/drug/1913545941.jpg,家庭常备,95,126
77,79,78,布洛芬缓释胶囊,￥9.93,功效：用于缓解轻至中度疼痛如头痛、偏头痛、牙痛、痛经、关节痛、肌肉痛、神经痛，也用于普通感冒或流行性感冒引起的发热。,用法用量： 口服。成人，一次1片，一日2次（早晚各一次）。,http://img.99.com.cn/99/drug/1913564091.jpg,家庭常备,48,13
78,80,79,布洛芬混悬液,￥19.13,功效：用于感冒或流感引起的发热，头痛。也用于缓解中度疼痛如关节痛，神经痛，偏头痛，牙痛。,用法用量： 成人一次15-20毫升，一日3-4次。12岁以下小儿：2-3岁　12-14公斤　1次3毫升　　若发热或疼痛不缓解，可每隔4—6小时重复用药一次，24小时不超过4次；4--6岁　16-20公斤　1次5毫升　　若发热或疼痛不缓解，可每隔4—6小时重复用药一次，24小时不超过4次；7--9岁　22-26公斤　1次8毫升;若发热或疼痛不缓解，可每隔4—6小时重复用药一次，24小时不超过4次；10-12岁　28-32公斤　1次10毫升;若发热或疼痛不缓解，可每隔4—6小时重复用药一次，24小时不超过4次。,http://img.99.com.cn/99/drug/0616014012.jpg,家庭常备,92,325
